Date,Open,High,Low,Close,Change(Pips),Change(%)
06/27/2018 00:00,110.023,110.491,109.686,110.27,24.7,0.22
06/26/2018 00:00,109.756,110.217,109.368,110.023,26.7,0.24
06/25/2018 00:00,109.839,110.045,109.366,109.759,-8,-0.07
06/22/2018 00:00,109.977,110.217,109.801,109.985,0.8,0.01
06/21/2018 00:00,110.353,110.757,109.84,109.966,-38.7,-0.35
06/20/2018 00:00,110.049,110.45,109.852,110.354,30.5,0.28
06/19/2018 00:00,110.536,110.572,109.548,110.056,-48,-0.44
06/18/2018 00:00,110.662,110.731,110.297,110.545,-11.7,-0.11
06/15/2018 00:00,110.618,110.903,110.386,110.663,4.5,0.04
06/14/2018 00:00,110.331,110.697,109.92,110.627,29.6,0.27
06/13/2018 00:00,110.356,110.845,110.268,110.34,-1.6,-0.01
06-12-2018 00:00,110.032,110.493,109.953,110.371,33.9,0.31
06-11-2018 00:00,109.285,110.115,109.277,110.03,74.5,0.68
06-08-2018 00:00,109.69,109.853,109.199,109.538,-15.2,-0.14
06-07-2018 00:00,110.176,110.221,109.475,109.698,-47.8,-0.44
06-06-2018 00:00,109.776,110.264,109.774,110.185,40.9,0.37
06-05-2018 00:00,109.815,110.007,109.474,109.796,-1.9,-0.02
06-04-2018 00:00,109.451,109.855,109.372,109.817,36.6,0.33
06-01-2018 00:00,108.806,109.736,108.724,109.509,70.3,0.64
05/31/2018 00:00,108.906,109.006,108.388,108.811,-9.5,-0.09
05/30/2018 00:00,108.752,109.072,108.35,108.899,14.7,0.13
05/29/2018 00:00,109.398,109.467,108.113,108.768,-63,-0.58
05/28/2018 00:00,109.741,109.831,109.235,109.41,-33.1,-0.3
05/25/2018 00:00,109.238,109.741,109.056,109.441,20.3,0.19
05/24/2018 00:00,110.069,110.09,108.954,109.248,-82.1,-0.75
05/23/2018 00:00,110.893,110.921,109.558,110.083,-81,-0.74
05/22/2018 00:00,111.033,111.184,110.795,110.895,-13.8,-0.12
05/21/2018 00:00,110.872,111.397,110.823,111.045,17.3,0.16
05/18/2018 00:00,110.743,111.079,110.605,110.761,1.8,0.02
05/17/2018 00:00,110.393,110.86,110.073,110.774,38.1,0.34
05/16/2018 00:00,110.338,110.4,110.037,110.4,6.2,0.06
05/15/2018 00:00,109.645,110.456,109.645,110.353,70.8,0.64
05/14/2018 00:00,109.336,109.673,109.21,109.646,31,0.28
05-11-2018 00:00,109.39,109.567,109.15,109.365,-2.5,-0.02
05-10-2018 00:00,109.741,110.019,109.317,109.393,-34.8,-0.32
05-09-2018 00:00,109.121,109.833,108.996,109.743,62.2,0.57
05-08-2018 00:00,109.087,109.351,108.827,109.134,4.7,0.04
05-07-2018 00:00,109.114,109.4,108.76,109.094,-2,-0.02
05-04-2018 00:00,109.186,109.272,108.646,109.059,-12.7,-0.12
05-03-2018 00:00,109.833,109.919,108.931,109.197,-63.6,-0.58
05-02-2018 00:00,109.857,110.035,109.594,109.847,-1,-0.01
05-01-2018 00:00,109.334,109.888,109.234,109.861,52.7,0.48
